Recall,QPS,Algorithm,Dataset
0.021,1.7536352859477697,IGP,CLERC
0.032,1.4651928779904586,IGP,CLERC
0.045,1.211877367705407,IGP,CLERC
0.12,0.297234677180848,IGP,CLERC
0.167,0.09722398305658202,IGP,CLERC
0.0,1.1559651268440534,Plaid,CLERC
0.006,1.75180742731313,Plaid,CLERC
0.006,0.8798789286594165,Plaid,CLERC
0.008,2.1854722914895524,Plaid,CLERC
0.008,2.096541545067257,Plaid,CLERC
0.014,1.9148650977538633,Plaid,CLERC
0.014,1.9758003967407196,Plaid,CLERC
0.023,1.804129291121519,Plaid,CLERC
0.023,1.8434097180873519,Plaid,CLERC
0.026,1.455972837370746,Plaid,CLERC
0.026,1.495989252813208,Plaid,CLERC
0.039,1.274487687811692,Plaid,CLERC
0.039,1.2094326067868522,Plaid,CLERC
0.065,0.5282782039808932,Plaid,CLERC
0.189,671.14,Multi-HNSW,CLERC
0.249,646.909,Multi-HNSW,CLERC
0.268,621.017,Multi-HNSW,CLERC
0.273,596.998,Multi-HNSW,CLERC
0.273,583.401,Multi-HNSW,CLERC
0.272,517.234,Multi-HNSW,CLERC
0.268,418.715,Multi-HNSW,CLERC
0.265,347.302,Multi-HNSW,CLERC
0.266,263.376,Multi-HNSW,CLERC
0.265,212.288,Multi-HNSW,CLERC
0.264,178.399,Multi-HNSW,CLERC
0.218,400.147,C-Multi-HNSW,CLERC
0.233,397.022,C-Multi-HNSW,CLERC
0.242,400.236,C-Multi-HNSW,CLERC
0.244,391.66,C-Multi-HNSW,CLERC
0.243,398.261,C-Multi-HNSW,CLERC
0.247,397.926,C-Multi-HNSW,CLERC
0.235,311.507,C-Multi-HNSW,CLERC
0.231,262.125,C-Multi-HNSW,CLERC
0.227,198.699,C-Multi-HNSW,CLERC
0.219,159.514,C-Multi-HNSW,CLERC
0.222,133.33,C-Multi-HNSW,CLERC
0.094,1.145094985629058,MVR-HNSW,CLERC
0.105,0.800839279564984,MVR-HNSW,CLERC
0.193,0.41986463564146925,MVR-HNSW,CLERC
0.035,1.62348204428859,MVR-HNSW,CLERC
0.108,0.8605851979345955,MVR-HNSW,CLERC
0.087,1.0642940005747188,MVR-HNSW,CLERC
